Season,Player,Age,Tm,Pos,GP,G,GPG,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%,MoreThan50
2008,Ilya Kovalchuk,24.0, ATL , LW ,79,52,0.6582,35, 87 ,-12 , 52 , 34 , 16 , 2 , 4 , 21 , 14 , -   , 283 , 18 ," 1,699 ",21:30,25.0,39.0,13.0,16.0,44.8,True
1967,Bobby Hull*,28.0, CBH , LW ,66,52,0.7879,28, 80 ,0, 52 , 32 , 18 , 2 , 3 ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True
1994,Ray Sheppard,27.0, DET , RW ,82,52,0.6341,41, 93 , 13 , 26 , 33 , 19 , -   , 5 , 24 , 15 , 2 , 260 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Rick Vaive,24.0, TOR , RW ,76,52,0.6842,41, 93 ,-12 , 114 , 35 , 17 , -   , 6 , 28 , 13 , -   , 261 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1987,Dino Ciccarelli*,26.0, MNS , RW ,80,52,0.65,51, 103 , 10 , 88 , 30 , 22 , -   , 5 , 38 , 13 , -   , 255 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1982,Blaine Stoughton,28.0, HAR , LW ,80,52,0.65,39, 91 ,-17 , 57 , 38 , 13 , 1 , 4 , 23 , 16 , -   , 266 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Jari Kurri*,23.0, EDM , RW ,64,52,0.8125,61, 113 , 38 , 14 , 37 , 10 , 5 , 4 , 43 , 14 , 4 , 194 , 27 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1981,Jacques Richard,28.0, QUE , RW ,78,52,0.6667,51, 103 ,-9 , 39 , 36 , 16 , -   , 5 , 28 , 23 , -   , 261 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1986,Wayne Gretzky*,25.0, EDM , C ,80,52,0.65,163, 215 , 71 , 46 , 38 , 11 , 3 , 6 , 106 , 42 , 15 , 350 , 15 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1990,Luc Robitaille*,23.0, LAK , LW ,80,52,0.65,49, 101 , 8 , 38 , 32 , 20 , -   , 7 , 35 , 13 , 1 , 210 , 25 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2010,Sidney Crosby,22.0, PIT , C ,81,51,0.6296,58, 109 , 15 , 71 , 36 , 13 , 2 , 6 , 36 , 21 , 1 , 298 , 17 ," 1,778 ",21:57,42.0,62.0,992.0,781.0,56.0,True
2010,Steven Stamkos,19.0, TBL , C ,82,51,0.622,44, 95 ,-2 , 38 , 26 , 24 , 1 , 5 , 27 , 17 , -   , 297 , 17 ," 1,685 ",20:33,38.0,68.0,475.0,517.0,47.9,True
1971,John Bucyk*,35.0, BOS , LW ,78,51,0.6538,65, 116 , 36 , 8 , 29 , 22 , -   , 5 , 41 , 24 , -   , 225 , 23 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Mike Bossy*,27.0, NYI , RW ,67,51,0.7612,67, 118 , 66 , 8 , 45 , 6 , -   , 11 , 45 , 22 , -   , 246 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1983,Rick Vaive,23.0, TOR , RW ,78,51,0.6538,28, 79 ,-13 , 105 , 30 , 18 , 3 , 8 , 16 , 11 , 1 , 296 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2014,Alex Ovechkin,28.0, WSH , LW ,78,51,0.6538,28, 79 ,-35 , 48 , 27 , 24 , -   , 10 , 12 , 15 , 1 , 386 , 13 ," 1,603 ",20:33,22.0,204.0,2.0,1.0,66.7,True
1988,Joe Nieuwendyk*,21.0, CGY , C ,75,51,0.68,41, 92 , 20 , 23 , 17 , 31 , 3 , 8 , 25 , 14 , 2 , 212 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1974,Mickey Redmond,26.0, DET , RW ,76,51,0.6711,26, 77 ,-21 , 14 , 30 , 21 , -   , 9 , 14 , 12 , -   , 296 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1989,Joe Mullen*,31.0, CGY , RW ,79,51,0.6456,59, 110 , 51 , 16 , 37 , 13 , 1 , 7 , 31 , 27 , 1 , 270 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1989,Joe Nieuwendyk*,22.0, CGY , C ,77,51,0.6623,31, 82 , 26 , 40 , 29 , 19 , 3 , 11 , 23 , 8 , -   , 215 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1980,Mike Bossy*,23.0, NYI , RW ,75,51,0.68,41, 92 , 28 , 12 , 35 , 16 , -   , 8 , 26 , 15 , -   , 244 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Mike Bullard,22.0, PIT , C ,76,51,0.6711,41, 92 ,-33 , 57 , 36 , 15 , -   , -   , 25 , 16 , -   , 213 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1990,Gary Leeman,25.0, TOR , RW ,80,51,0.6375,44, 95 , 4 , 63 , 36 , 14 , 1 , 5 , 32 , 12 , -   , 256 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1990,Stephane Richer,23.0, MTL , RW ,75,51,0.68,40, 91 , 35 , 46 , 42 , 9 , -   , 8 , 27 , 13 , -   , 269 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1998,John LeClair,28.0, PHI , LW ,82,51,0.622,36, 87 , 30 , 32 , 35 , 16 , -   , 9 , 25 , 11 , -   , 303 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1998,Pavel Bure*,26.0, VAN , RW ,82,51,0.622,39, 90 , 5 , 48 , 32 , 13 , 6 , 4 , 24 , 12 , 3 , 329 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1991,Steve Yzerman*,25.0, DET , C ,80,51,0.6375,57, 108 ,-2 , 34 , 33 , 12 , 6 , 4 , 35 , 21 , 1 , 326 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1997,Teemu Selanne,26.0, MDA , RW ,78,51,0.6538,58, 109 , 28 , 34 , 39 , 11 , 1 , 8 , 37 , 21 , -   , 273 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1991,Theoren Fleury,22.0, CGY , RW ,79,51,0.6456,53, 104 , 48 , 136 , 35 , 9 , 7 , 9 , 30 , 23 , -   , 249 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1996,John LeClair,26.0, PHI , LW ,82,51,0.622,46, 97 , 21 , 64 , 32 , 19 , -   , 10 , 28 , 18 , -   , 270 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1991,Cam Neely*,25.0, BOS , RW ,69,51,0.7391,40, 91 , 26 , 98 , 32 , 18 , 1 , 8 , 29 , 10 , 1 , 262 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1996,Joe Sakic*,26.0, COL , C ,82,51,0.622,69, 120 , 14 , 44 , 28 , 17 , 6 , 7 , 34 , 33 , 2 , 339 , 15 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1980,Wayne Gretzky*,19.0, EDM , C ,79,51,0.6456,86, 137 , 15 , 21 , 37 , 13 , 1 , 6 , 62 , 23 , 1 , 284 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Brendan Shanahan*,24.0, STL , LW ,71,51,0.7183,43, 94 , 10 , 174 , 33 , 18 , -   , 8 , 24 , 19 , -   , 232 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1982,Rick Middleton,28.0, BOS , RW ,75,51,0.68,43, 94 , 15 , 12 , 31 , 19 , 1 , 9 , 26 , 15 , 2 , 202 , 25 ,0,0,0.0,0.0,0.0,0.0,0.0,True
