Season,Player,Age,Tm,Pos,GP,G,GPG,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%,MoreThan50
1996,Jaromir Jagr,23.0, PIT , RW ,82,62,0.7561,87, 149 , 31 , 96 , 41 , 20 , 1 , 12 , 54 , 31 , 2 , 403 , 15 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1976,Reggie Leach,25.0, PHI , RW ,80,61,0.7625,30, 91 , 73 , 41 , 51 , 10 , -   , 11 , 19 , 11 , -   , 335 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1986,Mike Bossy*,29.0, NYI , RW ,80,61,0.7625,62, 123 , 30 , 14 , 39 , 21 , 1 , 9 , 43 , 18 , 1 , 302 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1975,Phil Esposito*,32.0, BOS , C ,79,61,0.7722,66, 127 , 18 , 62 , 30 , 27 , 4 , 8 , 38 , 27 , 1 , 347 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1978,Guy Lafleur*,26.0, MTL , RW ,78,60,0.7692,72, 132 , 73 , 26 , 45 , 15 , -   , 12 , 51 , 21 , -   , 307 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Pavel Bure*,21.0, VAN , RW ,83,60,0.7229,50, 110 , 35 , 69 , 40 , 13 , 7 , 9 , 28 , 20 , 2 , 407 , 15 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2012,Steven Stamkos,21.0, TBL , C ,82,60,0.7317,37, 97 , 7 , 66 , 48 , 12 , -   , 12 , 24 , 13 , -   , 303 , 20 ," 1,806 ",22:01,37.0,109.0,558.0,669.0,45.5,True
1994,Pavel Bure*,22.0, VAN , RW ,76,60,0.7895,47, 107 , 1 , 86 , 31 , 25 , 4 , 9 , 27 , 18 , 2 , 374 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1983,Mike Bossy*,26.0, NYI , RW ,79,60,0.7595,58, 118 , 27 , 20 , 41 , 19 , -   , 8 , 37 , 21 , -   , 272 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1982,Dennis Maruk,26.0, WSH , C ,80,60,0.75,76, 136 ,-4 , 128 , 38 , 20 , 2 , 1 , 40 , 35 , 1 , 268 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1977,Steve Shutt*,24.0, MTL , LW ,80,60,0.75,45, 105 , 88 , 28 , 52 , 8 , -   , 9 , 36 , 9 , -   , 294 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
